epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,12352.5,0.46885,0.7172,0.37197,0.85983,0,0.92594,0.98997,0.94336,0.86103,0.92594,0.98997,0.94336,0.81765,0.42951,0.74638,0.27354,0.84366,0,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,12576.1,0.47129,0.72282,0.37882,0.86133,0,0.92791,0.99211,0.94538,0.86108,0.92791,0.99211,0.94538,0.8174,0.42668,0.73841,0.26868,0.84488,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,12796.4,0.47168,0.72364,0.37536,0.86094,0,0.9226,0.99051,0.94445,0.86318,0.92177,0.98966,0.94428,0.8175,0.4232,0.74412,0.26869,0.84095,0,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,13013.7,0.46653,0.71318,0.36955,0.85925,0,0.92492,0.98945,0.94577,0.86325,0.92492,0.98945,0.94577,0.82117,0.42675,0.74559,0.27226,0.83882,0,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,13232.1,0.46988,0.72274,0.37484,0.86221,0,0.92692,0.99106,0.94448,0.86204,0.92607,0.99021,0.94407,0.82051,0.42755,0.74408,0.26592,0.84348,0,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,13450.3,0.46471,0.71402,0.3665,0.85838,0,0.92813,0.99038,0.94265,0.86262,0.92813,0.99038,0.94265,0.81825,0.41848,0.74027,0.26368,0.83735,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,13667.3,0.45872,0.71196,0.36494,0.85862,0,0.93388,0.99166,0.94698,0.86595,0.93347,0.99131,0.94711,0.82278,0.41907,0.73676,0.26215,0.8399,0,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,13884.8,0.46442,0.71722,0.36026,0.85838,0,0.92414,0.9919,0.94202,0.86276,0.92414,0.9919,0.94202,0.81886,0.42059,0.74138,0.26665,0.84192,0,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,14103.8,0.45546,0.69645,0.35969,0.85763,0,0.9286,0.99262,0.94655,0.87034,0.9286,0.99262,0.94655,0.8242,0.4165,0.74056,0.25743,0.84022,0,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,14323.8,0.45573,0.70767,0.35726,0.85673,0,0.92953,0.99279,0.94569,0.86682,0.92953,0.99279,0.94569,0.82369,0.42468,0.7498,0.25973,0.84332,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
